Initializing SD card...05,S,35.80,0.00
19984,42.28735351,-83.50029754,0.00,0.05,0,255.16,258.62,176.33,-78.82,167..41,176.62,-78.82,167.21,35.80,1056.85,S,35.80,0.00
19984,42.28735351,-83.50029754,0.00,0.05,0,255.16,258.62,176.33,-78.82,167.40⸮⸮r⸮Initializing SD card...card initialized.
5/7-20:42
0       1     2      3      4      5        6           7          8        9                   10              11          12          13          14              15
millis, lat, lon, course, speed, g_numWP, boatAngle, windAngle, sailAngle, sailAngleToBoat, rudderTarget, directHeading, distanceToWP, sailMode, desiredCourse, distToBuoy
0,0,0,0,0,0,0.00,0.00,0.00,-78.82,119.80,35.67,1057.14,T,-42.41,0.00
0,0,0,0,0,0,90.00,90.00,90.00,-78.82,119.80,35.67,1057.14,T,-42.41,0.00
0,0,0,0,0,0,180.00,180.00,180.00,-78.82,119.80,35.67,1057.14,T,-42.41,0.00
0,0,0,0,0,0,270.00,270.00,270.00,-78.82,119.80,35.67,1057.14,T,-42.41,0.00
6216,42.28733444,-83.50027465,0.00,0.54,0,256.25,2.59,177.43,-78.82,119.80,35.67,1057.14,T,-42.41,0.00
7202,42.28733444,-83.50027465,0.00,0.15,0,256.18,172.16,177.35,-78.82,166.69,35.67,1057.14,S,35.67,0.00
8183,42.28733062,-83.50027465,0.00,0.12,0,256.39,230.58,177.57,-78.82,166.56,35.66,1057.45,S,35.66,0.00
9170,42.28733062,-83.50028228,0.00,0.20,0,255.83,249.42,177.01,-78.82,166.91,35.69,1057.66,S,35.69,0.00
10151,42.28733062,-83.50028228,0.00,0.05,0,255.82,255.51,177.00,-78.82,166.92,35.69,1057.66,S,35.69,0.00
11159,42.28733062,-83.50028228,0.00,0.05,0,255.50,257.73,176.67,-78.82,167.11,35.69,1057.66,S,35.69,0.00
12125,42.28733062,-83.50028228,0.00,0.15,0,255.52,258.19,176.69,-78.82,167.10,35.69,1057.66,S,35.69,0.00
13123,42.28732681,-83.50028228,0.00,0.20,0,255.56,258.37,176.74,-78.82,167.07,35.68,1057.97,S,35.68,0.00
14104,42.28733062,-83.50028228,0.00,0.05,0,254.65,258.44,175.83,-78.82,167.62,35.69,1057.66,S,35.69,0.00
15089,42.28733062,-83.50028991,0.00,0.23,0,254.90,258.54,176.07,-78.82,167.49,35.71,1058.18,S,35.71,0.00
16053,42.28733444,-83.50028991,0.00,0.03,0,255.15,258.53,176.32,-78.82,167.35,35.72,1057.87,S,35.72,0.00
17052,42.28733444,-83.50028991,0.00,0.13,0,255.81,258.30,176.99,-78.82,166.95,35.72,1057.87,S,35.72,0.00
18038,42.28734207,-83.50029754,0.00,0.28,0,255.33,258.60,176.51,-78.82,167.26,35.77,1057.78,S,35.77,0.00
19019,42.28734970,-83.50029754,0.00,0.07,0,255.45,258.41,176.62,-78.82,167.21,35.80,1056.85,S,35.80,0.00
19984,42.28735351,-83.50029754,0.00,0.05,0,255.16,258.62,176.33,-78.82,167.40,35.82,1056.39,S,35.82,0.00
20990,42.28736495,-83.50030517,0.00,0.41,0,254.41,258.51,175.67,-78.74,167.88,35.88,1055.99,S,35.88,0.00
21976,42.28737640,-83.50030517,0.00,0.39,0,255.99,258.62,177.17,-78.82,166.95,35.92,1055.06,S,35.92,0.00
22941,42.28738403,-83.50031280,0.00,0.03,0,254.88,258.50,176.05,-78.82,167.66,35.99,1054.36,S,35.99,0.00
23928,42.28738784,-83.50031280,0.00,0.01,0,255.31,258.70,176.49,-78.82,167.41,36.00,1054.05,S,36.00,0.00
24931,42.28739166,-83.50031280,0.00,0.24,0,255.88,258.50,177.05,-78.82,167.08,36.01,1053.74,S,36.01,0.00
25894,42.28739547,-83.50031280,0.00,0.26,0,254.05,258.30,175.23,-78.82,168.18,36.02,1053.43,S,36.02,0.00
26895,42.28739929,-83.50032043,0.00,0.06,0,256.32,258.63,177.59,-78.74,166.84,36.06,1053.50,S,36.06,0.00
27880,42.28739929,-83.50032043,0.00,0.02,0,255.25,258.27,176.43,-78.82,167.48,36.06,1053.50,S,36.06,0.00
28862,42.28739929,-83.50032043,0.00,0.21,0,256.03,258.32,177.20,-78.82,167.02,36.06,1053.50,S,36.06,0.00
29828,42.28739929,-83.50032043,0.00,0.01,0,255.25,258.47,176.43,-78.82,167.49,36.06,1053.50,S,36.06,0.00
30827,42.28739929,-83.50032043,0.00,0.07,0,254.08,257.99,175.25,-78.82,168.19,36.06,1053.50,S,36.06,0.00
31812,42.28739929,-83.50032043,0.00,0.13,0,255.41,258.36,176.59,-78.82,167.39,36.06,1053.50,S,36.06,0.00
32777,42.28739929,-83.50032043,0.00,0.13,0,254.34,258.19,175.52,-78.82,168.03,36.06,1053.50,S,36.06,0.00
33763,42.28739929,-83.50031280,0.00,0.15,0,255.95,258.37,177.12,-78.82,167.05,36.03,1053.13,S,36.03,0.00
34765,42.28739929,-83.50031280,0.00,0.09,0,255.68,258.52,176.85,-78.82,167.21,36.03,1053.13,S,36.03,0.00
35731,42.28739547,-83.50031280,0.00,0.31,0,255.51,258.21,176.69,-78.82,167.30,36.02,1053.43,S,36.02,0.00
36731,42.28739547,-83.50031280,0.00,0.25,0,255.10,258.19,176.27,-78.82,167.56,36.02,1053.43,S,36.02,0.00
1       2               3       4   5       6       7       8       9    10     11      12  13 14    15      
